,team1,team2,team_lost_score,team_won_score,date_match,event_name,maps_info,map1_played,team_winner_map1,result_map1_played1,result_half_score_map1,team_loser_map1,result_map1_played2,map2_played,team_winner_map2,result_map2_played1,result_half_score_map2,team_loser_map2,result_map2_played2,map3_played,team_winner_map3,result_map3_played1,result_half_score_map3,team_loser_map3,result_map3_played2,player1_team1,kd_player1_team1,adr_player1_team1,kast_player1_team1,rating_player1_team1,player2_team1,kd_player2_team1,adr_player2_team1,kast_player2_team1,rating_player2_team1,player3_team1,kd_player3_team1,adr_player3_team1,kast_player3_team1,rating_player3_team1,player4_team1,kd_player4_team1,adr_player4_team1,kast_player4_team1,rating_player4_team1,player5_team1,kd_player5_team1,adr_player5_team1,kast_player5_team1,rating_player5_team1,player1_team2,kd_player1_team2,adr_player1_team2,kast_player1_team2,rating_player1_team2,player2_team2,kd_player2_team2,adr_player2_team2,kast_player2_team2,rating_player2_team2,player3_team2,kd_player3_team2,adr_player3_team2,kast_player3_team2,rating_player3_team2,player4_team2,kd_player4_team2,adr_player4_team2,kast_player4_team2,rating_player4_team2,player5_team2,kd_player5_team2,adr_player5_team2,kast_player5_team2,rating_player5_team2
12,GODSENT,OpTic,8,16,25th of January 2017,ELEAGUE Major 2017,"Best of 1

* Starting time is approximate, the match will start after the previous one is finished",Cache,GODSENT,16,(10:5; 6:3),OpTic,8,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Jonas 'Lekr0' Olofsson,25-15,123.6,100.0%,1.84,Jesper 'JW' Wecksell,18-14,81.0,70.8%,1.24,Robin 'flusha' Rönnquist,17-13,70.6,66.7%,1.08,Andreas 'znajder' Lindberg,20-17,65.8,62.5%,0.97,Markus 'pronax' Wallsten,11-16,68.2,79.2%,0.94,William 'RUSH' Wierzba,17-17,83.2,62.5%,1.07,Keith 'NAF' Markovic,16-19,82.0,70.8%,0.98,Oscar 'mixwell' Cañellas,11-19,78.2,70.8%,0.88,Tarik 'tarik' Celik,15-19,68.2,58.3%,0.87,Peter 'stanislaw' Jarguz,15-17,63.6,66.7%,0.79
13,mousesports,Liquid,4,16,25th of January 2017,ELEAGUE Major 2017,"Best of 1

* Starting time is approximate, the match will start after the previous one is finished",Nuke,Liquid,4,(4:11; 0:5),mousesports,16,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Nikola 'NiKo' Kovač,14-18,82.6,45.0%,0.88,Chris 'chrisJ' de Jong,11-17,51.8,50.0%,0.72,Christian 'loWel' Garcia Antoran,7-15,44.8,55.0%,0.61,Denis 'denis' Howell,6-17,36.7,30.0%,0.35,Timo 'Spiidi' Richter,1-19,26.9,25.0%,0.13,Jonathan 'EliGE' Jablonowski,22-9,103.5,90.0%,1.74,Josh 'jdm64' Marzano,16-8,103.3,80.0%,1.50,Jacob 'Pimp' Winneche,19-7,92.3,75.0%,1.47,Nick 'nitr0' Cannella,14-5,65.3,95.0%,1.41,Spencer 'Hiko' Martin,15-10,80.2,85.0%,1.33
14,Envy,fnatic,11,16,25th of January 2017,ELEAGUE Major 2017,"Best of 1

* Starting time is approximate, the match will start after the previous one is finished",Cobblestone,fnatic,11,(8:7; 3:9),Envy,16,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Dan 'apEX' Madesclaire,27-20,109.5,77.8%,1.45,Nathan 'NBK-' Schmitt,19-18,70.4,70.4%,1.10,Kenny 'kennyS' Schrub,17-17,58.8,77.8%,1.02,Vincent 'Happy' Schopenhauer,14-16,67.3,74.1%,0.95,Christophe 'SIXER' Xia,9-19,51.5,63.0%,0.65,Simon 'twist' Eliasson,25-14,99.8,81.5%,1.54,Olof 'olofmeister' Kajbjer,21-16,82.1,81.5%,1.29,Freddy 'KRIMZ' Johansson,19-19,77.0,77.8%,1.12,Joakim 'disco doplan' Gidetun,12-15,47.9,59.3%,0.79,Dennis 'dennis' Edman,13-22,63.0,51.9%,0.72
15,North,G2,9,16,25th of January 2017,ELEAGUE Major 2017,Best of 1,Overpass,North,16,(11:4; 5:5),G2,9,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Emil 'Magisk' Reif,17-15,90.2,84.0%,1.38,Kristian 'k0nfig' Wienecke,22-17,98.8,72.0%,1.31,René 'cajunb' Borg,17-13,61.0,84.0%,1.19,Ruben 'RUBINO' Villarroel,19-14,65.2,76.0%,1.18,Mathias 'MSL' Lauridsen,13-17,67.0,68.0%,0.87,Richard 'shox' Papillon,21-17,87.3,76.0%,1.28,Cédric 'RpK' Guipouy,21-19,89.8,68.0%,1.05,Alexandre 'bodyy' Pianaro,15-16,70.8,76.0%,1.01,Edouard 'SmithZz' Dubourdeaux,11-19,50.5,64.0%,0.72,Adil 'ScreaM' Benrlitom,8-17,44.1,64.0%,0.59
16,FlipSid3,OpTic,13,16,25th of January 2017,ELEAGUE Major 2017,"Best of 1

* Starting time is approximate, the match will start after the previous one is finished",Train,OpTic,13,(10:5; 3:11),FlipSid3,16,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Jan 'wayLander' Rahkonen,24-23,93.7,69.0%,1.22,Denis 'electronic' Sharipov,21-23,89.4,72.4%,1.16,Georgi 'WorldEdit' Yaskin,18-20,61.2,75.9%,1.01,Yegor 'markeloff' Markelov,15-17,58.0,69.0%,0.94,Andrey 'B1ad3' Gorodenskiy,18-20,69.8,69.0%,0.91,Tarik 'tarik' Celik,24-18,100.2,72.4%,1.37,Oscar 'mixwell' Cañellas,20-17,67.2,72.4%,1.12,William 'RUSH' Wierzba,22-21,77.7,79.3%,1.09,Peter 'stanislaw' Jarguz,23-20,68.3,58.6%,0.97,Keith 'NAF' Markovic,14-20,71.4,75.9%,0.93
17,Liquid,FaZe,18,22,24th of January 2017,ELEAGUE Major 2017,"Best of 1

* Starting time is approximate, the match will start after the previous one is finished",Nuke,FaZe,18,(7:8; 8:7) (3:7),Liquid,22,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Jacob 'Pimp' Winneche,30-29,91.1,75.0%,1.14,Josh 'jdm64' Marzano,25-26,69.3,65.0%,1.03,Nick 'nitr0' Cannella,29-30,70.0,60.0%,0.95,Jonathan 'EliGE' Jablonowski,24-30,70.8,62.5%,0.87,Spencer 'Hiko' Martin,18-30,67.1,65.0%,0.76,Philip 'aizy' Aistrup,35-23,93.8,67.5%,1.41,Håvard 'rain' Nygaard,34-28,102.4,75.0%,1.27,Aleksi 'allu' Jalli,30-22,74.3,70.0%,1.13,Fabien 'kioShiMa' Fiey,24-25,68.0,65.0%,0.97,Finn 'karrigan' Andersen,22-29,57.5,65.0%,0.77
18,SK,Natus Vincere,3,16,24th of January 2017,ELEAGUE Major 2017,"Best of 1

* Starting time is approximate, the match will start after the previous one is finished",Dust2,Natus Vincere,3,(3:12; 0:4),SK,16,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Marcelo 'coldzera' David,15-16,82.6,68.4%,1.05,Ricardo 'fox' Pacheco,15-16,88.5,63.2%,1.05,Epitacio 'TACO' de Melo,7-17,58.2,52.6%,0.60,Gabriel 'FalleN' Toledo,4-14,35.5,47.4%,0.50,Fernando 'fer' Alvarenga,5-18,41.9,57.9%,0.46,Egor 'flamie' Vasilyev,26-8,143.3,89.5%,2.29,Aleksandr 's1mple' Kostyliev,21-10,104.6,73.7%,1.57,Ioann 'Edward' Sukhariev,15-7,81.7,78.9%,1.35,Ladislav 'GuardiaN' Kovács,10-10,67.6,73.7%,0.97,Denis 'seized' Kostin,9-11,53.1,68.4%,0.83
19,Astralis,G2,5,16,24th of January 2017,ELEAGUE Major 2017,"Best of 1

* Starting time is approximate, the match will start after the previous one is finished",Train,Astralis,16,(11:4; 5:1),G2,5,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Lukas 'gla1ve' Rossander,27-9,121.3,90.5%,2.02,Nicolai 'device' Reedtz,16-11,80.0,76.2%,1.40,Peter 'dupreeh' Rasmussen,17-8,74.5,81.0%,1.38,Andreas 'Xyp9x' Højsleth,14-14,100.3,85.7%,1.37,Markus 'Kjaerbye' Kjærbye,16-13,71.0,76.2%,1.19,Richard 'shox' Papillon,17-18,92.5,52.4%,1.04,Cédric 'RpK' Guipouy,13-18,59.3,52.4%,0.70,Alexandre 'bodyy' Pianaro,12-19,70.2,47.6%,0.70,Adil 'ScreaM' Benrlitom,9-17,45.9,42.9%,0.54,Edouard 'SmithZz' Dubourdeaux,4-18,56.2,47.6%,0.39
20,Gambit,Virtus.pro,10,16,24th of January 2017,ELEAGUE Major 2017,"Best of 1

* Starting time is approximate, the match will start after the previous one is finished",Train,Virtus.pro,10,(7:8; 3:8),Gambit,16,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Abay 'Hobbit' Khasenov,21-17,90.3,65.4%,1.22,Dauren 'AdreN' Kystaubayev,22-20,90.7,73.1%,1.19,Mihail 'Dosia' Stolyarov,13-20,63.3,61.5%,0.75,Danylo 'Zeus' Teslenko,13-19,57.8,61.5%,0.73,Rustem 'mou' Telepov,9-22,42.2,61.5%,0.61,Janusz 'Snax' Pogorzelski,22-10,81.1,80.8%,1.41,Wiktor 'TaZ' Wojtas,25-15,98.2,65.4%,1.37,Jarosław 'pashaBiceps' Jarząbkowski,22-18,83.8,80.8%,1.28,Paweł 'byali' Bieliński,19-15,85.2,73.1%,1.22,Filip 'NEO' Kubski,10-20,62.9,76.9%,0.77
21,North,HellRaisers,15,19,24th of January 2017,ELEAGUE Major 2017,Best of 1,Mirage,North,19,(8:7; 7:8) (4:0),HellRaisers,15,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Emil 'Magisk' Reif,35-22,108.3,85.3%,1.53,Ruben 'RUBINO' Villarroel,24-21,77.2,67.6%,1.12,René 'cajunb' Borg,23-22,66.8,61.8%,0.91,Kristian 'k0nfig' Wienecke,19-27,63.1,64.7%,0.80,Mathias 'MSL' Lauridsen,17-25,62.8,64.7%,0.79,Patrik 'Zero' Žúdel,25-19,83.6,85.3%,1.28,Kirill 'ANGE1' Karasiow,31-29,101.7,70.6%,1.25,Martin 'STYKO' Styk,26-26,80.8,67.6%,1.08,Vladyslav 'bondik' Nechyporchuk,21-25,59.4,79.4%,0.87,Bence 'DeadFox' Böröcz,14-19,46.7,64.7%,0.79
