,team1,team2,team_lost_score,team_won_score,date_match,event_name,maps_info,map1_played,team_winner_map1,result_map1_played1,result_half_score_map1,team_loser_map1,result_map1_played2,map2_played,team_winner_map2,result_map2_played1,result_half_score_map2,team_loser_map2,result_map2_played2,map3_played,team_winner_map3,result_map3_played1,result_half_score_map3,team_loser_map3,result_map3_played2,player1_team1,kd_player1_team1,adr_player1_team1,kast_player1_team1,rating_player1_team1,player2_team1,kd_player2_team1,adr_player2_team1,kast_player2_team1,rating_player2_team1,player3_team1,kd_player3_team1,adr_player3_team1,kast_player3_team1,rating_player3_team1,player4_team1,kd_player4_team1,adr_player4_team1,kast_player4_team1,rating_player4_team1,player5_team1,kd_player5_team1,adr_player5_team1,kast_player5_team1,rating_player5_team1,player1_team2,kd_player1_team2,adr_player1_team2,kast_player1_team2,rating_player1_team2,player2_team2,kd_player2_team2,adr_player2_team2,kast_player2_team2,rating_player2_team2,player3_team2,kd_player3_team2,adr_player3_team2,kast_player3_team2,rating_player3_team2,player4_team2,kd_player4_team2,adr_player4_team2,kast_player4_team2,rating_player4_team2,player5_team2,kd_player5_team2,adr_player5_team2,kast_player5_team2,rating_player5_team2
22,GODSENT,Envy,3,16,24th of January 2017,ELEAGUE Major 2017,"Best of 1

* Starting time is approximate, the match will start after the previous one is finished",Cache,Envy,3,(3:12; 0:4),GODSENT,16,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Robin 'flusha' Rönnquist,15-16,97.8,57.9%,1.04,Jesper 'JW' Wecksell,7-19,66.4,52.6%,0.67,Jonas 'Lekr0' Olofsson,11-18,68.0,52.6%,0.67,Markus 'pronax' Wallsten,10-18,52.3,52.6%,0.58,Andreas 'znajder' Lindberg,7-17,36.3,26.3%,0.40,Kenny 'kennyS' Schrub,24-9,99.7,84.2%,1.73,Nathan 'NBK-' Schmitt,18-10,99.6,100.0%,1.72,Vincent 'Happy' Schopenhauer,19-9,91.0,84.2%,1.43,Dan 'apEX' Madesclaire,17-12,109.9,89.5%,1.42,Christophe 'SIXER' Xia,10-10,72.2,78.9%,1.08
23,fnatic,mousesports,11,16,24th of January 2017,ELEAGUE Major 2017,Best of 1,Dust2,fnatic,16,(6:9; 10:2),mousesports,11,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Olof 'olofmeister' Kajbjer,27-20,92.0,74.1%,1.31,Freddy 'KRIMZ' Johansson,18-14,67.3,74.1%,1.10,Dennis 'dennis' Edman,16-17,67.4,74.1%,0.99,Simon 'twist' Eliasson,13-18,74.2,70.4%,0.92,Joakim 'disco doplan' Gidetun,11-14,50.0,59.3%,0.79,Nikola 'NiKo' Kovač,22-17,76.7,70.4%,1.12,Denis 'denis' Howell,18-19,88.3,70.4%,1.08,Chris 'chrisJ' de Jong,15-16,60.5,74.1%,1.03,Christian 'loWel' Garcia Antoran,12-15,56.3,85.2%,0.95,Timo 'Spiidi' Richter,16-18,61.1,55.6%,0.88
24,Virtus.pro,G2,14,16,24th of January 2017,ELEAGUE Major 2017,"Best of 1

* Starting time is approximate, the match will start after the previous one is finished",Nuke,Virtus.pro,16,(7:8; 9:6),G2,14,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Janusz 'Snax' Pogorzelski,26-17,87.8,66.7%,1.39,Wiktor 'TaZ' Wojtas,30-19,94.2,70.0%,1.36,Paweł 'byali' Bieliński,17-22,69.3,60.0%,0.87,Filip 'NEO' Kubski,16-21,76.6,46.7%,0.84,Jarosław 'pashaBiceps' Jarząbkowski,12-20,57.5,63.3%,0.75,Alexandre 'bodyy' Pianaro,27-19,95.9,73.3%,1.41,Richard 'shox' Papillon,18-20,73.0,70.0%,1.03,Adil 'ScreaM' Benrlitom,19-19,60.3,66.7%,0.95,Cédric 'RpK' Guipouy,18-21,59.5,60.0%,0.91,Edouard 'SmithZz' Dubourdeaux,17-23,69.0,66.7%,0.91
25,GODSENT,Gambit,9,16,24th of January 2017,ELEAGUE Major 2017,"Best of 1

* Starting time is approximate, the match will start after the previous one is finished",Overpass,Gambit,9,(4:11; 5:5),GODSENT,16,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Robin 'flusha' Rönnquist,19-22,101.3,64.0%,1.08,Andreas 'znajder' Lindberg,15-20,67.6,72.0%,0.86,Markus 'pronax' Wallsten,12-20,49.2,56.0%,0.77,Jonas 'Lekr0' Olofsson,13-19,56.5,52.0%,0.70,Jesper 'JW' Wecksell,12-19,61.9,44.0%,0.64,Dauren 'AdreN' Kystaubayev,28-14,106.5,88.0%,1.74,Mihail 'Dosia' Stolyarov,20-12,97.3,76.0%,1.44,Rustem 'mou' Telepov,21-16,90.6,80.0%,1.28,Danylo 'Zeus' Teslenko,17-13,72.6,88.0%,1.25,Abay 'Hobbit' Khasenov,14-16,70.4,72.0%,0.99
26,OpTic,Astralis,12,16,23rd of January 2017,ELEAGUE Major 2017,"Best of 1

* Starting time is approximate, the match will start after the previous one is finished",Train,Astralis,12,(7:8; 5:8),OpTic,16,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,William 'RUSH' Wierzba,22-20,83.3,64.3%,1.15,Oscar 'mixwell' Cañellas,14-18,61.6,67.9%,0.92,Peter 'stanislaw' Jarguz,15-22,55.0,60.7%,0.76,Keith 'NAF' Markovic,13-22,55.4,53.6%,0.68,Tarik 'tarik' Celik,11-23,58.4,60.7%,0.65,Nicolai 'device' Reedtz,29-9,92.4,92.9%,1.75,Peter 'dupreeh' Rasmussen,25-20,100.0,78.6%,1.44,Markus 'Kjaerbye' Kjærbye,19-15,70.1,78.6%,1.11,Lukas 'gla1ve' Rossander,17-17,81.3,71.4%,1.03,Andreas 'Xyp9x' Højsleth,15-14,60.2,75.0%,1.01
27,North,fnatic,13,16,23rd of January 2017,ELEAGUE Major 2017,"Best of 1

* Starting time is approximate, the match will start after the previous one is finished",Cobblestone,fnatic,13,(10:5; 3:11),North,16,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,René 'cajunb' Borg,25-14,85.0,69.0%,1.35,Emil 'Magisk' Reif,18-20,86.3,69.0%,1.13,Ruben 'RUBINO' Villarroel,19-20,75.0,79.3%,0.98,Mathias 'MSL' Lauridsen,13-20,69.9,62.1%,0.91,Kristian 'k0nfig' Wienecke,14-20,49.2,75.9%,0.80,Dennis 'dennis' Edman,24-15,91.2,82.8%,1.43,Freddy 'KRIMZ' Johansson,19-19,78.5,86.2%,1.12,Olof 'olofmeister' Kajbjer,22-18,64.9,69.0%,1.09,Joakim 'disco doplan' Gidetun,15-16,64.8,72.4%,1.07,Simon 'twist' Eliasson,14-21,54.5,69.0%,0.90
28,FlipSid3,Liquid,14,16,23rd of January 2017,ELEAGUE Major 2017,"Best of 1

* Starting time is approximate, the match will start after the previous one is finished",Overpass,Liquid,14,(9:6; 5:10),FlipSid3,16,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Yegor 'markeloff' Markelov,26-18,93.2,76.7%,1.37,Georgi 'WorldEdit' Yaskin,18-23,80.1,66.7%,1.09,Andrey 'B1ad3' Gorodenskiy,20-21,69.5,70.0%,1.07,Denis 'electronic' Sharipov,24-21,74.0,63.3%,1.04,Jan 'wayLander' Rahkonen,12-26,54.3,63.3%,0.57,Jonathan 'EliGE' Jablonowski,37-21,127.6,76.7%,1.85,Spencer 'Hiko' Martin,20-18,70.8,90.0%,1.12,Jacob 'Pimp' Winneche,21-18,77.1,80.0%,1.10,Josh 'jdm64' Marzano,23-21,79.9,63.3%,1.05,Nick 'nitr0' Cannella,8-22,42.1,53.3%,0.56
29,FaZe,SK,17,19,23rd of January 2017,ELEAGUE Major 2017,"Best of 1

* Starting time is approximate, the match will start after the previous one is finished",Mirage,SK,17,(9:6; 6:9) (2:4),FaZe,19,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Finn 'karrigan' Andersen,31-22,87.8,69.4%,1.24,Fabien 'kioShiMa' Fiey,23-26,71.1,61.1%,0.96,Håvard 'rain' Nygaard,22-25,78.7,66.7%,0.94,Aleksi 'allu' Jalli,23-23,61.0,69.4%,0.94,Philip 'aizy' Aistrup,17-26,55.1,61.1%,0.80,Fernando 'fer' Alvarenga,37-22,103.9,75.0%,1.56,Marcelo 'coldzera' David,35-22,100.0,75.0%,1.44,Gabriel 'FalleN' Toledo,19-26,67.9,66.7%,0.94,Ricardo 'fox' Pacheco,15-21,46.9,72.2%,0.87,Epitacio 'TACO' de Melo,14-25,48.1,63.9%,0.72
30,Natus Vincere,Envy,6,16,23rd of January 2017,ELEAGUE Major 2017,"Best of 1

* Starting time is approximate, the match will start after the previous one is finished",Cobblestone,Natus Vincere,16,(12:3; 4:3),Envy,6,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Egor 'flamie' Vasilyev,25-10,117.5,95.5%,1.87,Denis 'seized' Kostin,18-12,99.5,86.4%,1.41,Ioann 'Edward' Sukhariev,18-13,92.8,68.2%,1.27,Aleksandr 's1mple' Kostyliev,18-14,70.4,86.4%,1.25,Ladislav 'GuardiaN' Kovács,13-12,54.3,86.4%,1.07,Vincent 'Happy' Schopenhauer,17-19,74.2,54.5%,0.84,Nathan 'NBK-' Schmitt,9-18,66.4,72.7%,0.80,Christophe 'SIXER' Xia,10-18,57.7,72.7%,0.78,Kenny 'kennyS' Schrub,11-18,62.6,68.2%,0.77,Dan 'apEX' Madesclaire,14-19,65.4,54.5%,0.69
31,mousesports,HellRaisers,7,16,23rd of January 2017,ELEAGUE Major 2017,Best of 1,Cache,mousesports,16,(12:3; 4:4),HellRaisers,7,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Nikola 'NiKo' Kovač,21-12,100.7,87.0%,1.54,Chris 'chrisJ' de Jong,18-11,89.3,82.6%,1.39,Denis 'denis' Howell,20-17,91.0,69.6%,1.31,Christian 'loWel' Garcia Antoran,21-16,99.2,69.6%,1.27,Timo 'Spiidi' Richter,13-11,51.0,65.2%,0.95,Martin 'STYKO' Styk,17-17,92.2,56.5%,1.13,Kirill 'ANGE1' Karasiow,17-20,68.5,78.3%,0.95,Vladyslav 'bondik' Nechyporchuk,14-16,58.7,69.6%,0.81,Bence 'DeadFox' Böröcz,9-19,48.8,56.5%,0.62,Patrik 'Zero' Žúdel,9-21,59.1,47.8%,0.49
32,FlipSid3,FaZe,9,16,23rd of January 2017,ELEAGUE Major 2017,"Best of 1

* Starting time is approximate, the match will start after the previous one is finished",Nuke,FaZe,9,(6:9; 3:7),FlipSid3,16,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Denis 'electronic' Sharipov,22-19,89.0,64.0%,1.24,Yegor 'markeloff' Markelov,14-19,83.3,60.0%,0.89,Andrey 'B1ad3' Gorodenskiy,16-22,65.8,68.0%,0.88,Georgi 'WorldEdit' Yaskin,12-21,64.6,56.0%,0.69,Jan 'wayLander' Rahkonen,12-21,55.3,48.0%,0.55,Håvard 'rain' Nygaard,27-16,106.0,80.0%,1.67,Aleksi 'allu' Jalli,22-14,89.8,88.0%,1.38,Finn 'karrigan' Andersen,18-14,81.8,96.0%,1.24,Fabien 'kioShiMa' Fiey,19-15,87.0,76.0%,1.20,Philip 'aizy' Aistrup,16-17,71.8,80.0%,1.13
33,Astralis,GODSENT,6,16,22nd of January 2017,ELEAGUE Major 2017,"Best of 1

* Starting time is approximate, the match will start after the previous one is finished",Train,GODSENT,6,(3:12; 3:4),Astralis,16,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Nicolai 'device' Reedtz,18-19,94.0,72.7%,1.10,Lukas 'gla1ve' Rossander,12-18,60.1,50.0%,0.76,Markus 'Kjaerbye' Kjærbye,11-19,49.9,36.4%,0.64,Andreas 'Xyp9x' Højsleth,7-19,58.4,45.5%,0.48,Peter 'dupreeh' Rasmussen,5-20,38.9,50.0%,0.37,Jonas 'Lekr0' Olofsson,26-11,96.2,90.9%,1.66,Jesper 'JW' Wecksell,26-14,107.4,81.8%,1.63,Andreas 'znajder' Lindberg,17-10,100.9,90.9%,1.44,Robin 'flusha' Rönnquist,13-8,76.1,86.4%,1.26,Markus 'pronax' Wallsten,13-10,66.0,81.8%,1.09
34,Liquid,Envy,21,25,22nd of January 2017,ELEAGUE Major 2017,"Best of 1

* Starting time is approximate, the match will start after the previous one is finished",Cache,Envy,21,(6:9; 9:6) (6:10),Liquid,25,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Jonathan 'EliGE' Jablonowski,48-33,111.1,73.9%,1.54,Jacob 'Pimp' Winneche,33-32,68.2,71.7%,1.04,Spencer 'Hiko' Martin,26-34,79.5,78.3%,0.96,Josh 'jdm64' Marzano,26-34,56.5,60.9%,0.83,Nick 'nitr0' Cannella,24-39,65.3,63.0%,0.81,Nathan 'NBK-' Schmitt,42-31,97.3,82.6%,1.44,Kenny 'kennyS' Schrub,37-31,74.1,87.0%,1.27,Dan 'apEX' Madesclaire,36-29,87.1,76.1%,1.26,Christophe 'SIXER' Xia,32-35,78.4,67.4%,1.04,Vincent 'Happy' Schopenhauer,25-32,64.7,69.6%,0.81
35,Natus Vincere,mousesports,3,16,22nd of January 2017,ELEAGUE Major 2017,"Best of 1

* Starting time is approximate, the match will start after the previous one is finished",Cobblestone,Natus Vincere,16,(13:2; 3:1),mousesports,3,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Ioann 'Edward' Sukhariev,18-7,119.2,89.5%,1.72,Egor 'flamie' Vasilyev,15-12,106.8,94.7%,1.57,Ladislav 'GuardiaN' Kovács,18-10,77.1,73.7%,1.39,Aleksandr 's1mple' Kostyliev,17-8,80.8,84.2%,1.38,Denis 'seized' Kostin,16-8,83.9,78.9%,1.36,Chris 'chrisJ' de Jong,12-17,82.8,68.4%,0.97,Denis 'denis' Howell,11-17,75.2,63.2%,0.79,Christian 'loWel' Garcia Antoran,11-16,62.1,52.6%,0.68,Nikola 'NiKo' Kovač,9-18,65.3,52.6%,0.60,Timo 'Spiidi' Richter,2-17,22.0,26.3%,0.18
36,Virtus.pro,OpTic,13,16,22nd of January 2017,ELEAGUE Major 2017,"Best of 1

* Starting time is approximate, the match will start after the previous one is finished",Cobblestone,Virtus.pro,16,(6:9; 10:4),OpTic,13,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Janusz 'Snax' Pogorzelski,28-14,99.1,86.2%,1.64,Paweł 'byali' Bieliński,20-19,83.1,72.4%,1.15,Jarosław 'pashaBiceps' Jarząbkowski,21-21,75.6,65.5%,1.13,Wiktor 'TaZ' Wojtas,17-20,76.6,65.5%,1.04,Filip 'NEO' Kubski,17-21,59.2,69.0%,0.85,Keith 'NAF' Markovic,21-17,90.3,75.9%,1.33,William 'RUSH' Wierzba,25-18,98.6,79.3%,1.29,Oscar 'mixwell' Cañellas,19-23,68.1,69.0%,0.95,Peter 'stanislaw' Jarguz,17-20,63.9,72.4%,0.93,Tarik 'tarik' Celik,12-25,44.4,65.5%,0.60
37,SK,HellRaisers,7,16,22nd of January 2017,ELEAGUE Major 2017,"Best of 1

* Starting time is approximate, the match will start after the previous one is finished",Mirage,SK,16,(11:4; 5:3),HellRaisers,7,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Marcelo 'coldzera' David,24-10,99.5,91.3%,1.72,Fernando 'fer' Alvarenga,22-15,91.8,95.7%,1.48,Ricardo 'fox' Pacheco,17-13,82.0,73.9%,1.35,Epitacio 'TACO' de Melo,17-13,75.0,87.0%,1.34,Gabriel 'FalleN' Toledo,15-12,77.5,82.6%,1.24,Kirill 'ANGE1' Karasiow,18-21,96.4,56.5%,0.94,Bence 'DeadFox' Böröcz,17-18,78.7,69.6%,0.87,Patrik 'Zero' Žúdel,13-16,51.0,60.9%,0.78,Vladyslav 'bondik' Nechyporchuk,9-20,54.2,43.5%,0.45,Martin 'STYKO' Styk,6-20,43.6,43.5%,0.45
38,fnatic,G2,10,16,22nd of January 2017,ELEAGUE Major 2017,"Best of 1

* Starting time is approximate, the match will start after the previous one is finished",Cache,G2,10,(9:6; 1:10),fnatic,16,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Freddy 'KRIMZ' Johansson,19-18,97.1,61.5%,1.18,Olof 'olofmeister' Kajbjer,18-21,75.7,57.7%,1.02,Simon 'twist' Eliasson,18-22,65.4,69.2%,0.96,Dennis 'dennis' Edman,12-20,57.4,61.5%,0.73,Joakim 'disco doplan' Gidetun,10-19,46.4,46.2%,0.53,Cédric 'RpK' Guipouy,28-16,114.2,80.8%,1.84,Richard 'shox' Papillon,22-12,76.0,80.8%,1.35,Alexandre 'bodyy' Pianaro,19-16,82.0,84.6%,1.11,Adil 'ScreaM' Benrlitom,16-15,72.1,84.6%,1.11,Edouard 'SmithZz' Dubourdeaux,14-19,57.3,73.1%,0.83
39,Gambit,North,8,16,22nd of January 2017,ELEAGUE Major 2017,Best of 1,Cobblestone,Gambit,16,(9:6; 7:2),North,8,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Dauren 'AdreN' Kystaubayev,19-13,86.5,83.3%,1.47,Danylo 'Zeus' Teslenko,20-13,88.3,83.3%,1.37,Mihail 'Dosia' Stolyarov,17-13,79.6,83.3%,1.29,Abay 'Hobbit' Khasenov,16-16,87.4,70.8%,1.23,Rustem 'mou' Telepov,19-11,66.0,79.2%,1.19,René 'cajunb' Borg,15-16,72.5,62.5%,0.97,Kristian 'k0nfig' Wienecke,15-20,80.9,58.3%,0.84,Mathias 'MSL' Lauridsen,13-20,74.7,58.3%,0.76,Ruben 'RUBINO' Villarroel,11-18,41.1,62.5%,0.69,Emil 'Magisk' Reif,12-18,60.0,54.2%,0.68
40,Gambit,Immortals,1,2,23rd of July 2017,PGL Major Krakow 2017,"Best of 3 (LAN)

* Grand final",Cobblestone,Immortals,4,(3:12; 1:4),Gambit,16,Train,Gambit,16,(9:6; 7:5),Immortals,11,Inferno,Gambit,16,(11:4; 5:6),Gambit,10,Rustem 'mou' Telepov,62-48,86.3,74.0%,1.19,Abay 'Hobbit' Khasenov,52-51,82.3,71.2%,1.13,Dauren 'AdreN' Kystaubayev,51-55,83.9,69.9%,1.10,Mihail 'Dosia' Stolyarov,43-49,73.8,67.1%,0.94,Danylo 'Zeus' Teslenko,40-45,60.5,68.5%,0.90,Henrique 'HEN1' Teles,53-39,82.8,78.1%,1.30,Vito 'kNgV-' Giuseppe,54-58,83.9,74.0%,1.11,Lucas 'steel' Lopes,52-50,74.5,72.6%,1.05,Lucas 'LUCAS1' Teles,44-50,63.8,71.2%,0.96,Ricardo 'boltz' Prass,45-51,72.9,64.4%,0.96
41,Immortals,Virtus.pro,0,2,22nd of July 2017,PGL Major Krakow 2017,"Best of 3 (LAN)

* Semi-final",Inferno,Immortals,16,(11:4; 5:1),Virtus.pro,5,Mirage,Immortals,16,(11:4; 5:7),Virtus.pro,11,Cobblestone,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Lucas 'LUCAS1' Teles,42-25,85.0,79.2%,1.41,Henrique 'HEN1' Teles,34-25,80.3,79.2%,1.23,Ricardo 'boltz' Prass,35-30,82.5,75.0%,1.17,Vito 'kNgV-' Giuseppe,36-31,75.5,75.0%,1.15,Lucas 'steel' Lopes,29-30,72.7,66.7%,0.96,Wiktor 'TaZ' Wojtas,34-33,80.4,72.9%,1.12,Jarosław 'pashaBiceps' Jarząbkowski,31-35,67.6,56.2%,0.90,Janusz 'Snax' Pogorzelski,30-38,66.2,62.5%,0.84,Filip 'NEO' Kubski,24-35,74.9,66.7%,0.83,Paweł 'byali' Bieliński,22-35,52.6,58.3%,0.70
42,Gambit,Astralis,1,2,22nd of July 2017,PGL Major Krakow 2017,"Best of 3 (LAN)

* Semi-final",Overpass,Gambit,16,(10:5; 6:5),Astralis,10,Inferno,Astralis,8,(5:10; 3:6),Gambit,16,Train,Gambit,16,(9:6; 7:6),Gambit,12,Dauren 'AdreN' Kystaubayev,59-49,79.6,69.2%,1.17,Rustem 'mou' Telepov,55-47,71.4,64.1%,1.07,Danylo 'Zeus' Teslenko,50-46,73.2,69.2%,1.07,Abay 'Hobbit' Khasenov,51-45,73.7,70.5%,1.05,Mihail 'Dosia' Stolyarov,44-55,69.2,66.7%,0.88,Andreas 'Xyp9x' Højsleth,56-52,73.9,65.4%,1.06,Peter 'dupreeh' Rasmussen,57-53,78.5,69.2%,1.05,Nicolai 'device' Reedtz,52-51,74.1,60.3%,1.03,Markus 'Kjaerbye' Kjærbye,41-55,68.4,66.7%,0.92,Lukas 'gla1ve' Rossander,36-49,64.2,69.2%,0.86
43,North,Virtus.pro,0,2,22nd of July 2017,PGL Major Krakow 2017,"Best of 3 (LAN)

* Quarter-final",Cobblestone,Virtus.pro,9,(4:11; 5:5),North,16,Nuke,Virtus.pro,10,(8:7; 2:9),North,16,Mirage,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Emil 'Magisk' Reif,36-37,79.9,64.7%,1.03,René 'cajunb' Borg,35-36,73.7,64.7%,1.00,Kristian 'k0nfig' Wienecke,27-38,62.4,54.9%,0.81,Philip 'aizy' Aistrup,25-37,62.7,68.6%,0.80,Mathias 'MSL' Lauridsen,17-36,48.1,54.9%,0.61,Paweł 'byali' Bieliński,47-27,93.9,82.4%,1.50,Filip 'NEO' Kubski,40-28,93.3,78.4%,1.38,Wiktor 'TaZ' Wojtas,36-26,65.0,68.6%,1.11,Jarosław 'pashaBiceps' Jarząbkowski,31-28,62.0,74.5%,1.06,Janusz 'Snax' Pogorzelski,30-32,64.4,62.7%,0.95
44,BIG,Immortals,1,2,21st of July 2017,PGL Major Krakow 2017,"Best of 3 (LAN)

* Quarter-final",Cobblestone,BIG,19,(3:12; 12:3) (4:2),Immortals,17,Inferno,Immortals,7,(2:13; 5:3),BIG,16,Train,Immortals,14,(7:8; 7:8),Immortals,16,Nikola 'LEGIJA' Ninić,73-60,85.5,74.2%,1.22,Johannes 'tabseN' Wodarz,69-66,86.0,68.5%,1.18,Johannes 'nex' Maget,59-61,79.2,73.0%,1.03,Kevin 'keev' Bartholomäus,54-54,58.6,64.0%,0.93,Fatih 'gob b' Dayik,47-63,64.1,66.3%,0.85,Lucas 'steel' Lopes,69-57,85.9,71.9%,1.18,Vito 'kNgV-' Giuseppe,74-63,79.8,66.3%,1.16,Ricardo 'boltz' Prass,58-56,72.0,73.0%,1.06,Lucas 'LUCAS1' Teles,55-67,82.3,67.4%,0.96,Henrique 'HEN1' Teles,47-59,68.8,61.8%,0.92
45,Astralis,SK,0,2,21st of July 2017,PGL Major Krakow 2017,"Best of 3 (LAN)

* Quarter-final",Cache,Astralis,16,(8:7; 8:5),SK,12,Overpass,Astralis,16,(10:5; 6:1),SK,6,Mirage,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Nicolai 'device' Reedtz,53-30,99.6,74.0%,1.62,Peter 'dupreeh' Rasmussen,33-34,79.2,76.0%,1.18,Andreas 'Xyp9x' Højsleth,32-34,85.1,80.0%,1.11,Lukas 'gla1ve' Rossander,33-28,70.8,78.0%,1.10,Markus 'Kjaerbye' Kjærbye,35-33,73.7,74.0%,1.09,Fernando 'fer' Alvarenga,41-38,88.9,64.0%,1.05,Marcelo 'coldzera' David,37-33,77.8,66.0%,1.04,Gabriel 'FalleN' Toledo,28-38,63.7,64.0%,0.83,João 'felps' Vasconcellos,29-37,65.4,60.0%,0.82,Epitacio 'TACO' de Melo,23-40,55.2,62.0%,0.69
46,Gambit,fnatic,0,2,21st of July 2017,PGL Major Krakow 2017,"Best of 3 (LAN)

* Quarter-final",Train,Gambit,16,(7:8; 9:6),fnatic,14,Inferno,Gambit,16,(7:8; 9:4),fnatic,12,Overpass,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Mihail 'Dosia' Stolyarov,48-37,90.1,69.0%,1.22,Rustem 'mou' Telepov,45-38,74.0,67.2%,1.12,Danylo 'Zeus' Teslenko,41-42,91.8,65.5%,1.10,Abay 'Hobbit' Khasenov,41-40,84.4,75.9%,1.09,Dauren 'AdreN' Kystaubayev,37-35,69.5,72.4%,1.08,Jesper 'JW' Wecksell,46-38,74.3,65.5%,1.14,Olof 'olofmeister' Kajbjer,38-45,82.0,67.2%,1.00,Freddy 'KRIMZ' Johansson,37-41,77.8,69.0%,0.99,Robin 'flusha' Rönnquist,36-42,76.9,65.5%,0.92,Dennis 'dennis' Edman,34-46,67.5,56.9%,0.80
47,FlipSid3,Immortals,6,16,19th of July 2017,PGL Major Krakow 2017,"Best of 1 (LAN)

* Swiss round 5 (teams with a 2-2 record). Winner advances to quarter-finals, loser is eliminated",Train,Immortals,6,(5:10; 1:6),FlipSid3,16,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Jan 'wayLander' Rahkonen,16-18,77.6,50.0%,0.97,Denis 'electronic' Sharipov,11-19,66.1,54.5%,0.73,Yegor 'markeloff' Markelov,9-17,58.2,45.5%,0.61,Georgi 'WorldEdit' Yaskin,8-19,70.3,40.9%,0.57,Andrey 'B1ad3' Gorodenskiy,7-19,37.3,40.9%,0.42,Lucas 'steel' Lopes,23-10,117.8,86.4%,1.71,Vito 'kNgV-' Giuseppe,20-11,86.0,77.3%,1.40,Ricardo 'boltz' Prass,17-10,90.8,72.7%,1.34,Henrique 'HEN1' Teles,16-11,78.8,77.3%,1.28,Lucas 'LUCAS1' Teles,16-9,66.1,77.3%,1.11
